"age","age_range_old","age_range_young","age_units","ageolder","agetype","ageyounger","analysisunitid","area","chronologyid","chronologyname","collunitid.x","collunitid.y","context","covertype","database","datasetid","datasetnotes","datasettype","depth","description","dripheight","dripheightunits","ecologicalgroup","element","elementtype","elev","entitycoverthickness","entityid","entityname","entrancedistance","entrancedistanceunits","landusecoverpercent","landusecovertype","lat","long","monitoring","recdatecreated","relativeage","sampleanalyst","sampleid","samplename","siteid","sitename","sitenotes","speleothemdriptype","speleothemtype","symmetry","taxongroup","taxonid","thickness","units","value","variablename","vegetationcoverpercent","vegetationcovertype"
63525.8370991,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737452,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.8,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893105,"4973",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-7.29,"δ13C",NA,"sparse"
64140.2747522,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737453,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.9,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893106,"4974",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.61,"δ18O",NA,"sparse"
64140.2747522,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737453,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",1.9,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893106,"4974",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.71,"δ13C",NA,"sparse"
64754.7124052,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737454,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893107,"4975",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.7,"δ18O",NA,"sparse"
64754.7124052,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737454,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893107,"4975",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.87,"δ13C",NA,"sparse"
65369.1500582,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737455,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2.05,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893108,"4976",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.78,"δ18O",NA,"sparse"
65369.1500582,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737455,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2.05,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893108,"4976",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.95,"δ13C",NA,"sparse"
65983.5877112,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737456,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2.15,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893109,"4977",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.45,"δ18O",NA,"sparse"
65983.5877112,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737456,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2.15,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893109,"4977",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-6.88,"δ13C",NA,"sparse"
66598.0253643,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737457,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",2.25,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893110,"4978",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.69,"δ18O",NA,"sparse"
